,precision,recall,f1-score,support
0,0.7514259429622815,0.7459360730593607,0.7486709440879927,5475.0
1,0.7477787851314597,0.7532420091324201,0.7505004549590537,5475.0
accuracy,0.7495890410958904,0.7495890410958904,0.7495890410958904,0.7495890410958904
macro avg,0.7496023640468705,0.7495890410958904,0.7495856995235233,10950.0
weighted avg,0.7496023640468705,0.7495890410958904,0.7495856995235233,10950.0
