,precision,recall,f1-score,support
0,0.7187108325872874,0.7331506849315068,0.725858951175407,5475.0
1,0.7276794035414725,0.7130593607305936,0.7202952029520295,5475.0
accuracy,0.7231050228310503,0.7231050228310503,0.7231050228310503,0.7231050228310503
macro avg,0.72319511806438,0.7231050228310503,0.7230770770637183,10950.0
weighted avg,0.72319511806438,0.7231050228310503,0.7230770770637183,10950.0
