,precision,recall,f1-score,support
0,0.7274890190336749,0.726027397260274,0.72675747326081,5475.0
1,0.7265767407947503,0.7280365296803653,0.7273059027460999,5475.0
accuracy,0.7270319634703196,0.7270319634703196,0.7270319634703196,0.7270319634703196
macro avg,0.7270328799142126,0.7270319634703196,0.7270316880034549,10950.0
weighted avg,0.7270328799142126,0.7270319634703196,0.727031688003455,10950.0
