,precision,recall,f1-score,support
0,0.7603305785123967,0.7393607305936073,0.7496990462079822,5475.0
1,0.7463562033416281,0.7669406392694064,0.7565084226646248,5475.0
accuracy,0.7531506849315068,0.7531506849315068,0.7531506849315068,0.7531506849315068
macro avg,0.7533433909270124,0.7531506849315068,0.7531037344363035,10950.0
weighted avg,0.7533433909270124,0.7531506849315068,0.7531037344363034,10950.0
