,precision,recall,f1-score,support
0,0.7712027756360833,0.7307762557077626,0.75044546562881,5475.0
1,0.7441860465116279,0.7831963470319635,0.7631930230488565,5475.0
accuracy,0.756986301369863,0.756986301369863,0.756986301369863,0.756986301369863
macro avg,0.7576944110738556,0.756986301369863,0.7568192443388333,10950.0
weighted avg,0.7576944110738556,0.756986301369863,0.7568192443388332,10950.0
